log_id,machine_id,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_minutes,failure_type,machine_failed
LOG_0000001,MCH_L2_02,2023-01-01 00:00:00,300.77,309.04,1436,41.21,141,No Failure,0
LOG_0000002,MCH_L1_04,2023-01-01 00:30:00,299.92,312.43,1490,54.77,82,No Failure,0
LOG_0000003,MCH_L3_03,2023-01-01 01:00:00,297.97,308.43,1754,48.53,185,No Failure,0
LOG_0000004,MCH_L3_05,2023-01-01 01:30:00,305.55,316.94,1741,26.23,81,No Failure,0
LOG_0000005,MCH_L3_01,2023-01-01 02:00:00,297.57,308.39,1435,24.71,120,No Failure,0
LOG_0000006,MCH_L2_03,2023-01-01 02:30:00,294.39,304.43,1649,43.55,134,No Failure,0
LOG_0000007,MCH_L3_03,2023-01-01 03:00:00,303.95,313.3,1502,39.14,227,No Failure,0
LOG_0000008,MCH_L1_05,2023-01-01 03:30:00,298.54,307.66,1742,25.13,156,No Failure,0
LOG_0000009,MCH_L2_02,2023-01-01 04:00:00,299.26,310.2,1638,23.85,2,No Failure,0
LOG_0000010,MCH_L2_05,2023-01-01 04:30:00,299.11,309.98,1533,37.88,12,No Failure,0
LOG_0000011,MCH_L1_03,2023-01-01 05:00:00,298.58,309.25,1509,42.18,163,No Failure,0
LOG_0000012,MCH_L2_02,2023-01-01 05:30:00,298.08,307.94,1573,42.5,104,No Failure,0
LOG_0000013,MCH_L3_01,2023-01-01 06:00:00,297.51,308.01,1558,34.85,88,No Failure,0
LOG_0000014,MCH_L3_01,2023-01-01 06:30:00,300.16,309.65,1367,35.26,91,No Failure,0
LOG_0000015,MCH_L2_03,2023-01-01 07:00:00,299.0,308.18,1524,35.73,165,No Failure,0
LOG_0000016,MCH_L1_05,2023-01-01 07:30:00,301.83,311.5,1421,44.19,74,No Failure,0
LOG_0000017,MCH_L1_04,2023-01-01 08:00:00,301.21,310.93,1436,27.0,59,No Failure,0
LOG_0000018,MCH_L2_03,2023-01-01 08:30:00,297.68,309.44,1633,40.17,232,No Failure,0
LOG_0000019,MCH_L2_03,2023-01-01 09:00:00,300.27,308.63,1524,48.66,125,No Failure,0
LOG_0000020,MCH_L1_03,2023-01-01 09:30:00,298.96,308.92,1445,37.01,72,No Failure,0
LOG_0000021,MCH_L2_01,2023-01-01 10:00:00,297.52,308.28,1354,41.36,21,No Failure,0
LOG_0000022,MCH_L1_05,2023-01-01 10:30:00,301.72,314.1,1406,43.53,148,No Failure,0
LOG_0000023,MCH_L1_02,2023-01-01 11:00:00,299.7,308.97,1492,34.41,122,No Failure,0
LOG_0000024,MCH_L2_03,2023-01-01 11:30:00,298.98,307.64,1702,39.14,210,No Failure,0
LOG_0000025,MCH_L3_02,2023-01-01 12:00:00,297.86,308.73,1374,28.95,32,No Failure,0
LOG_0000026,MCH_L3_04,2023-01-01 12:30:00,297.43,307.63,1535,44.13,3,No Failure,0
LOG_0000027,MCH_L2_01,2023-01-01 13:00:00,304.97,314.71,1548,41.38,224,Heat Dissipation,1
LOG_0000028,MCH_L1_02,2023-01-01 13:30:00,300.84,311.37,1646,49.91,236,No Failure,0
LOG_0000029,MCH_L3_02,2023-01-01 14:00:00,297.27,308.3,1514,47.46,207,No Failure,0
LOG_0000030,MCH_L1_05,2023-01-01 14:30:00,300.72,311.6,1548,50.04,171,No Failure,0
LOG_0000031,MCH_L1_01,2023-01-01 15:00:00,302.66,313.02,1641,50.44,128,No Failure,0
LOG_0000032,MCH_L3_02,2023-01-01 15:30:00,300.42,312.0,1406,33.85,189,Overstrain,1
LOG_0000033,MCH_L2_05,2023-01-01 16:00:00,303.44,313.68,1594,44.08,206,No Failure,0
LOG_0000034,MCH_L2_01,2023-01-01 16:30:00,296.14,306.19,1332,45.73,149,No Failure,0
LOG_0000035,MCH_L3_03,2023-01-01 17:00:00,295.02,305.88,1507,34.7,223,No Failure,0
LOG_0000036,MCH_L3_02,2023-01-01 17:30:00,300.65,309.14,1471,50.48,58,No Failure,0
LOG_0000037,MCH_L2_04,2023-01-01 18:00:00,300.69,311.43,1413,39.08,36,No Failure,0
LOG_0000038,MCH_L1_01,2023-01-01 18:30:00,291.65,301.29,1616,45.44,150,No Failure,0
LOG_0000039,MCH_L3_01,2023-01-01 19:00:00,298.44,306.84,1623,49.38,160,No Failure,0
LOG_0000040,MCH_L3_01,2023-01-01 19:30:00,297.48,307.99,1628,43.64,112,No Failure,0
LOG_0000041,MCH_L3_05,2023-01-01 20:00:00,296.52,305.97,1545,55.42,231,No Failure,0
LOG_0000042,MCH_L2_05,2023-01-01 20:30:00,297.47,305.53,1352,60.56,149,No Failure,0
LOG_0000043,MCH_L3_02,2023-01-01 21:00:00,301.49,310.44,1460,40.15,191,No Failure,0
LOG_0000044,MCH_L3_02,2023-01-01 21:30:00,297.46,309.49,1620,48.14,231,No Failure,0
LOG_0000045,MCH_L3_05,2023-01-01 22:00:00,297.54,306.87,1619,60.13,126,No Failure,0
LOG_0000046,MCH_L3_04,2023-01-01 22:30:00,295.95,306.34,1643,34.75,189,No Failure,0
