shift_log_id,machine_id,shift_start,shift_type,planned_time_min,operating_time_min,downtime_min,downtime_reason,total_units,good_units,defective_units
SFT_00000,MCH_L2_03,2023-01-01 00:00:00,Shift A (Morning),480,480,0,None,902,885,17
SFT_00001,MCH_L1_03,2023-01-01 08:00:00,Shift B (Evening),480,476,4,Calibration Lag,871,846,25
SFT_00002,MCH_L3_05,2023-01-01 16:00:00,Shift C (Night),480,480,0,None,877,852,25
SFT_00003,MCH_L1_04,2023-01-02 00:00:00,Shift A (Morning),480,480,0,None,893,860,33
SFT_00004,MCH_L2_04,2023-01-02 08:00:00,Shift B (Evening),480,470,10,Calibration Lag,902,863,39
SFT_00005,MCH_L1_02,2023-01-02 16:00:00,Shift C (Night),480,480,0,None,931,908,23
SFT_00006,MCH_L1_03,2023-01-03 00:00:00,Shift A (Morning),480,480,0,None,850,818,32
SFT_00007,MCH_L3_05,2023-01-03 08:00:00,Shift B (Evening),480,454,26,Tool Breakdown,885,863,22
SFT_00008,MCH_L3_03,2023-01-03 16:00:00,Shift C (Night),480,480,0,None,857,815,42
SFT_00009,MCH_L1_01,2023-01-04 00:00:00,Shift A (Morning),480,480,0,None,937,897,40
SFT_00010,MCH_L1_02,2023-01-04 08:00:00,Shift B (Evening),480,456,24,Tool Breakdown,854,838,16
SFT_00011,MCH_L2_03,2023-01-04 16:00:00,Shift C (Night),480,299,181,Tool Breakdown,528,516,12
SFT_00012,MCH_L3_02,2023-01-05 00:00:00,Shift A (Morning),480,473,7,Tool Breakdown,879,870,9
SFT_00013,MCH_L2_02,2023-01-05 08:00:00,Shift B (Evening),480,480,0,None,862,831,31
SFT_00014,MCH_L2_04,2023-01-05 16:00:00,Shift C (Night),480,480,0,None,887,878,9
SFT_00015,MCH_L1_02,2023-01-06 00:00:00,Shift A (Morning),480,459,21,Tool Breakdown,827,802,25
SFT_00016,MCH_L1_03,2023-01-06 08:00:00,Shift B (Evening),480,480,0,None,916,873,43
SFT_00017,MCH_L1_05,2023-01-06 16:00:00,Shift C (Night),480,480,0,None,875,853,22
SFT_00018,MCH_L2_02,2023-01-07 00:00:00,Shift A (Morning),480,480,0,None,866,846,20
SFT_00019,MCH_L1_02,2023-01-07 08:00:00,Shift B (Evening),480,480,0,None,848,835,13
SFT_00020,MCH_L3_02,2023-01-07 16:00:00,Shift C (Night),480,480,0,None,866,856,10
SFT_00021,MCH_L3_04,2023-01-08 00:00:00,Shift A (Morning),480,475,5,Calibration Lag,843,817,26
SFT_00022,MCH_L2_02,2023-01-08 08:00:00,Shift B (Evening),480,480,0,None,848,831,17
SFT_00023,MCH_L1_05,2023-01-08 16:00:00,Shift C (Night),480,480,0,None,925,886,39
SFT_00024,MCH_L1_02,2023-01-09 00:00:00,Shift A (Morning),480,480,0,None,906,864,42
SFT_00025,MCH_L1_01,2023-01-09 08:00:00,Shift B (Evening),480,480,0,None,849,815,34
SFT_00026,MCH_L2_05,2023-01-09 16:00:00,Shift C (Night),480,480,0,None,885,866,19
SFT_00027,MCH_L1_04,2023-01-10 00:00:00,Shift A (Morning),480,480,0,None,911,873,38
SFT_00028,MCH_L1_03,2023-01-10 08:00:00,Shift B (Evening),480,480,0,None,892,873,19
SFT_00029,MCH_L1_04,2023-01-10 16:00:00,Shift C (Night),480,480,0,None,885,858,27
SFT_00030,MCH_L1_05,2023-01-11 00:00:00,Shift A (Morning),480,458,22,Material Starvation,881,858,23
SFT_00031,MCH_L3_01,2023-01-11 08:00:00,Shift B (Evening),480,480,0,None,895,886,9
SFT_00032,MCH_L3_05,2023-01-11 16:00:00,Shift C (Night),480,439,41,Calibration Lag,846,819,27
SFT_00033,MCH_L3_02,2023-01-12 00:00:00,Shift A (Morning),480,480,0,None,885,875,10
SFT_00034,MCH_L2_02,2023-01-12 08:00:00,Shift B (Evening),480,480,0,None,891,855,36
SFT_00035,MCH_L1_03,2023-01-12 16:00:00,Shift C (Night),480,480,0,None,854,832,22
SFT_00036,MCH_L1_03,2023-01-13 00:00:00,Shift A (Morning),480,480,0,None,874,856,18
SFT_00037,MCH_L1_03,2023-01-13 08:00:00,Shift B (Evening),480,480,0,None,895,886,9
SFT_00038,MCH_L1_01,2023-01-13 16:00:00,Shift C (Night),480,405,75,Pressure Loss,770,747,23
SFT_00039,MCH_L2_02,2023-01-14 00:00:00,Shift A (Morning),480,480,0,None,890,871,19
SFT_00040,MCH_L3_02,2023-01-14 08:00:00,Shift B (Evening),480,462,18,Tool Breakdown,874,842,32
SFT_00041,MCH_L2_01,2023-01-14 16:00:00,Shift C (Night),480,480,0,None,932,894,38
SFT_00042,MCH_L1_04,2023-01-15 00:00:00,Shift A (Morning),480,480,0,None,890,860,30
SFT_00043,MCH_L1_03,2023-01-15 08:00:00,Shift B (Evening),480,480,0,None,846,806,40
SFT_00044,MCH_L2_03,2023-01-15 16:00:00,Shift C (Night),480,430,50,Material Starvation,832,822,10
SFT_00045,MCH_L2_01,2023-01-16 00:00:00,Shift A (Morning),480,480,0,None,850,830,20
SFT_00046,MCH_L2_05,2023-01-16 08:00:00,Shift B (Evening),480,480,0,None,851,827,24
SFT_00047,MCH_L3_04,2023-01-16 16:00:00,Shift C (Night),480,474,6,Material Starvation,889,868,21
SFT_00048,MCH_L2_03,2023-01-17 00:00:00,Shift A (Morning),480,480,0,None,866,833,33
SFT_00049,MCH_L2_03,2023-01-17 08:00:00,Shift B (Evening),480,480,0,None,899,857,42
SFT_00050,MCH_L1_03,2023-01-17 16:00:00,Shift C (Night),480,480,0,None,864,823,41
SFT_00051,MCH_L2_01,2023-01-18 00:00:00,Shift A (Morning),480,337,143,Pressure Loss,617,611,6
SFT_00052,MCH_L2_02,2023-01-18 08:00:00,Shift B (Evening),480,480,0,None,873,830,43
